cell_F1,cell_P,cell_R,group_acc,exact_profile,validity,n_heldout_cells,n_group_inst,n_wellformed,n_fullobs,arm,protocol,seed,config,shrink,k,tau,rank,l2,n_iter,strict_gold
0.781864056885083,0.8157306955966815,0.7506974012626634,0.8001666435217331,0.7518209508674347,1.0,20412,7663,7201,7551,knn_cat,group,46,A,0.5,50,0.35,64,0.02,1200,
0.9199059844512746,0.969881814715974,0.874828060522696,0.9655837004405288,0.9430959013131716,0.9672452042281092,7663,7663,7264,7539,softimpute_bin,cell,42,A,0.5,50,0.35,64,0.02,1200,
0.90465872156013,0.9524714828897338,0.8614167812929848,0.9743942731277532,0.931423265685104,0.9920396711470704,7663,7663,7264,7539,softimpute_cat,cell,42,A,0.5,50,0.35,64,0.02,1200,
0.8299851190476191,0.9039708265802268,0.767193947730399,0.9010187224669604,0.8810187027457222,0.95145504371656,7663,7663,7264,7539,knn_bin,cell,42,A,0.5,50,0.35,64,0.02,1200,
0.854120267260579,0.9278225806451612,0.7912654745529574,0.9392896475770924,0.8981297254277756,0.9920396711470704,7663,7663,7264,7539,knn_cat,cell,42,A,0.5,50,0.35,64,0.02,1200,
0.9181544988509812,0.9722950205915388,0.8697253851306095,0.9615066225165564,0.9406622516556292,0.9645047631475924,7663,7663,7248,7550,softimpute_bin,cell,43,A,0.5,50,0.35,64,0.02,1200,
0.901558073654391,0.9564237415477084,0.8526456798392499,0.9722682119205298,0.9288741721854304,0.9913871851755188,7663,7663,7248,7550,softimpute_cat,cell,43,A,0.5,50,0.35,64,0.02,1200,
0.822733918128655,0.9054706355591312,0.7538513060951105,0.8939017660044151,0.8733774834437086,0.9491060942189744,7663,7663,7248,7550,knn_bin,cell,43,A,0.5,50,0.35,64,0.02,1200,
0.8549365692222836,0.9478189971463514,0.7786336235766912,0.940121412803532,0.8978807947019868,0.9913871851755188,7663,7663,7248,7550,knn_cat,cell,43,A,0.5,50,0.35,64,0.02,1200,
0.9092261904761906,0.959937156323645,0.8636042402826856,0.958610188261351,0.9379145661979305,0.9591543781808692,7663,7663,7224,7538,softimpute_bin,cell,44,A,0.5,50,0.35,64,0.02,1200,
0.8935133108361455,0.9516773162939296,0.8420494699646643,0.9738372093023256,0.9276996550809232,0.9915176823698292,7663,7663,7224,7538,softimpute_cat,cell,44,A,0.5,50,0.35,64,0.02,1200,
0.8218756017716156,0.9030892932712652,0.7540636042402827,0.900747508305648,0.8800742902626691,0.945713167166906,7663,7663,7224,7538,knn_bin,cell,44,A,0.5,50,0.35,64,0.02,1200,
0.8460038986354776,0.9434782608695652,0.7667844522968198,0.9432447397563676,0.8987795171132926,0.9915176823698292,7663,7663,7224,7538,knn_cat,cell,44,A,0.5,50,0.35,64,0.02,1200,
0.9161539813675512,0.9669758812615956,0.8704074816299265,0.9611650485436892,0.9387186629526464,0.9601983557353516,7663,7663,7210,7539,softimpute_bin,cell,45,A,0.5,50,0.35,64,0.02,1200,
0.8928825622775801,0.9554455445544554,0.8380093520374081,0.9703190013869626,0.9229340761374188,0.9913871851755188,7663,7663,7210,7539,softimpute_cat,cell,45,A,0.5,50,0.35,64,0.02,1200,
0.8219731765570458,0.9134340547162108,0.7471609886439545,0.8945908460471568,0.8737233054781801,0.9487146026360432,7663,7663,7210,7539,knn_bin,cell,45,A,0.5,50,0.35,64,0.02,1200,
0.8444526354589016,0.9420230263157896,0.7651970607882431,0.936754507628294,0.8910996153335986,0.9913871851755188,7663,7663,7210,7539,knn_cat,cell,45,A,0.5,50,0.35,64,0.02,1200,
0.9175145348837208,0.9715275105809928,0.8691910499139415,0.9626556016597512,0.94108301337217,0.9631997912044892,7663,7663,7230,7553,softimpute_bin,cell,46,A,0.5,50,0.35,64,0.02,1200,
0.8972577696526508,0.9567251461988304,0.844750430292599,0.9742738589211618,0.9278432410962532,0.9925616599243116,7663,7663,7230,7553,softimpute_cat,cell,46,A,0.5,50,0.35,64,0.02,1200,
0.8262751741012611,0.9115448504983388,0.7555938037865749,0.9019363762102351,0.8808420495167483,0.9500195745791464,7663,7663,7230,7553,knn_bin,cell,46,A,0.5,50,0.35,64,0.02,1200,
0.8491387469240962,0.9432296047098402,0.7721170395869191,0.941908713692946,0.8977889580299219,0.9925616599243116,7663,7663,7230,7553,knn_cat,cell,46,A,0.5,50,0.35,64,0.02,1200,
0.8180925772106018,0.8338977832512315,0.8028753520083,0.7791419506138778,0.7603711066931743,0.919874722693462,20405,7663,7249,7545,mf_bin,group,42,A,0.5,50,0.35,64,0.02,1200,
0.8083468083468084,0.8411858974358974,0.7779753964725064,0.8358394261277418,0.7919151756129887,1.0,20405,7663,7249,7545,mf_cat,group,42,A,0.5,50,0.35,64,0.02,1200,
0.8101626320917334,0.8230546672757728,0.797668240850059,0.7722114586216441,0.7486765484383272,0.917003784418635,20417,7663,7226,7556,mf_bin,group,43,A,0.5,50,0.35,64,0.02,1200,
0.8012579581191992,0.8342117872544322,0.7708087367178277,0.831165236645447,0.7838803599788248,1.0,20417,7663,7226,7556,mf_cat,group,43,A,0.5,50,0.35,64,0.02,1200,
