config,protocol,family,metric,bin_mean,bin_sd,cat_mean,cat_sd,delta,delta_sd,wins,n_seeds,t,p
A,group,mf,exact_profile,0.7532069690691825,0.006660526403423344,0.7882994935052744,0.004996937028803426,0.03509252443609186,0.0033953038522153032,5,5,23.111118638167163,2.0771415464747557e-05
A,group,mf,validity,0.9174996737570142,0.002272300546488727,1.0,0.0,0.08250032624298582,0.002272300546488727,5,5,81.18483179097423,1.3797884825519935e-07
A_strict,cell,mf,cell_F1,0.8900528025282262,0.004666922955730441,0.888196429509464,0.006188629696391099,-0.0018563730187621807,0.004663916024676037,2,5,-0.8900195114119925,0.42374820651206985
A_strict,cell,mf,group_acc,0.9329392344559974,0.001756773756717356,0.9663562649725099,0.0019198404301895727,0.0334170305165125,0.0012996703991214333,5,5,57.49361675977143,5.480211761115647e-07
A_strict,cell,mf,exact_profile,0.9181564287847497,0.0021598237564002397,0.9216830864832766,0.0032144265629004674,0.003526657698526825,0.0031840542640522024,5,5,2.476668327016192,0.06845521514531652
A_strict,cell,mf,validity,0.9410674670494584,0.001978227280348349,0.9917786767584499,0.0005137679677678862,0.0507112097089913,0.0018969283314984153,5,5,59.777541537892624,4.690177068156302e-07
B,cell,softimpute,cell_F1,0.9161910380059437,0.0041206226433123825,0.8980965368567073,0.005513787344280463,-0.018094501149236386,0.0031234202534818913,0,5,-12.953919519327085,0.00020487383394023
B,cell,softimpute,group_acc,0.9619042322843754,0.0025326988572460475,0.9741243089839726,0.0021366118052836844,0.012220076699597349,0.0022972363309534025,5,5,11.894693559552278,0.0002861189395929974
B,cell,softimpute,exact_profile,0.9402948790983094,0.0020464719958514,0.9286295534662494,0.0032459861729877905,-0.011665325632060065,0.001883756999951679,0,5,-13.847041361293472,0.00015767837402829222
B,cell,softimpute,validity,0.9628604984992822,0.0032736333794424473,0.9917786767584499,0.0005137679677678862,0.028918178259167426,0.0030972128330630988,5,5,20.87780719576966,3.110272068802021e-05
B,cell,knn,cell_F1,0.829219548927808,0.006139153207128806,0.8400562890860813,0.006850966079723927,0.010836740158273184,0.00552132642702286,5,5,4.388743894909791,0.011794159943403057
B,cell,knn,group_acc,0.8994880689197103,0.0039873641553018445,0.9353119348437001,0.004017180931347009,0.035823865923989937,0.002947115576860553,5,5,27.18067796588151,1.0894348562156624e-05
B,cell,knn,exact_profile,0.8800344226376318,0.0039728049573785505,0.8919640975045116,0.0051000970154020065,0.011929674866879814,0.003846491408862055,5,5,6.935037964820441,0.0022700329190858855
B,cell,knn,validity,0.9473313323763538,0.0028405255670551537,0.9917786767584499,0.0005137679677678862,0.044447344382095876,0.00248047671895381,5,5,40.067815472030844,2.318287533411782e-06
B,group,softimpute,cell_F1,0.8355212783425007,0.0020599611244257157,0.8350615902211468,0.0033756023451605105,-0.00045968812135399606,0.0021904814987047786,1,5,-0.4692547681432126,0.6633229677784694
B,group,softimpute,group_acc,0.8156017749240068,0.0033695688084795835,0.8546279344375287,0.002943817045040634,0.03902615951352224,0.0028749286092201536,5,5,30.353847846210414,7.0171430192867516e-06
B,group,softimpute,exact_profile,0.7865511132433449,0.0020067433166733165,0.806151505370949,0.0035736546401663755,0.019600392127604272,0.0023641224800961453,5,5,18.53872189447328,4.98258166316521e-05
B,group,softimpute,validity,0.9608769411457654,0.00254117947428177,1.0,0.0,0.039123058854234574,0.00254117947428177,5,5,34.42567515248765,4.247978413263704e-06
B,group,knn,cell_F1,0.7825950304571326,0.0014958321651504117,0.7799649067158624,0.0017098653239146465,-0.0026301237412703184,0.0017136714373935608,0,5,-3.4318921039271792,0.026489667446021242
B,group,knn,group_acc,0.7701822353095553,0.003227023794080391,0.794591974983839,0.0009967853248646129,0.02440973967428377,0.002387410792151685,5,5,22.862356744052203,2.1684440523344895e-05
B,group,knn,exact_profile,0.7356441656207291,0.002090319343174616,0.7495764150974795,0.0017867950474231976,0.01393224947675058,0.0018693434898071125,5,5,16.66545344896177,7.595028281815142e-05
B,group,knn,validity,0.9663317238679368,0.0022565074338758654,1.0,0.0,0.033668276132063156,0.0022565074338758654,5,5,33.36330870721539,4.813690639827967e-06
B,group,mf,cell_F1,0.8203750512763905,0.00398339976907865,0.809100817377679,0.0023819869227262426,-0.01127423389871136,0.006216568823013754,0,5,-4.055284210547749,0.01540845002563998
B,group,mf,group_acc,0.7866740434151991,0.005711880854719074,0.8393520009988729,0.002837221714437965,0.052677957583673794,0.0067031310985194775,5,5,17.572607836800596,6.158685466723624e-05
B,group,mf,exact_profile,0.7626624482690143,0.005441790889910122,0.7917943132024744,0.0025124481849471258,0.029131864933460094,0.0062794476544506825,5,5,10.373656074095834,0.00048751384102633095
B,group,mf,validity,0.9246248205663579,0.0024493874935921835,1.0,0.0,0.07537517943364218,0.0024493874935921835,5,5,68.8106824546113,2.672492890379918e-07
B_strict,cell,mf,cell_F1,0.8969694183339604,0.005031165323805037,0.8907175132756692,0.004938118438812655,-0.006251905058291274,0.0045379102796321924,1,5,-3.080643696716533,0.036908477156083176
B_strict,cell,mf,group_acc,0.9387156883237605,0.00242015871201746,0.968320068397954,0.0015164221880945052,0.029604380074193616,0.0015157761122723797,5,5,43.67228493817414,1.6436565751482832e-06
