branch,macroarea,in_branch_frac,repeat,model,f1
Sino-Tibetan,Eurasia,0.1,0,Freq,0.7540337998011777
Sino-Tibetan,Eurasia,0.1,0,T-CF,0.7667278427773955
Sino-Tibetan,Eurasia,0.1,0,Learned,0.7708954653207922
Sino-Tibetan,Eurasia,0.1,1,Freq,0.7545690907700543
Sino-Tibetan,Eurasia,0.1,1,T-CF,0.7676837195075323
Sino-Tibetan,Eurasia,0.1,1,Learned,0.7742219163416686
Sino-Tibetan,Eurasia,0.1,2,Freq,0.7537661543167393
Sino-Tibetan,Eurasia,0.1,2,T-CF,0.7640131528638067
Sino-Tibetan,Eurasia,0.1,2,Learned,0.7746042670337233
Sino-Tibetan,Eurasia,0.1,3,Freq,0.7521220463409038
Sino-Tibetan,Eurasia,0.1,3,T-CF,0.7647013841095053
Sino-Tibetan,Eurasia,0.1,3,Learned,0.7700160587290663
Sino-Tibetan,Eurasia,0.1,4,Freq,0.7541102699395886
Sino-Tibetan,Eurasia,0.1,4,T-CF,0.7605719966353139
Sino-Tibetan,Eurasia,0.1,4,Learned,0.7707425250439703
Sino-Tibetan,Eurasia,0.2,0,Freq,0.7540337998011777
Sino-Tibetan,Eurasia,0.2,0,T-CF,0.7649307945247381
Sino-Tibetan,Eurasia,0.2,0,Learned,0.7819836353903801
Sino-Tibetan,Eurasia,0.2,1,Freq,0.755677907777013
Sino-Tibetan,Eurasia,0.2,1,T-CF,0.7707807601131758
Sino-Tibetan,Eurasia,0.2,1,Learned,0.7841630343350922
Sino-Tibetan,Eurasia,0.2,2,Freq,0.7537661543167393
Sino-Tibetan,Eurasia,0.2,2,T-CF,0.7667278427773955
Sino-Tibetan,Eurasia,0.2,2,Learned,0.783665978435421
Sino-Tibetan,Eurasia,0.2,3,Freq,0.7521220463409038
Sino-Tibetan,Eurasia,0.2,3,T-CF,0.7682954806148199
Sino-Tibetan,Eurasia,0.2,3,Learned,0.7844689148887359
Sino-Tibetan,Eurasia,0.2,4,Freq,0.7541102699395886
Sino-Tibetan,Eurasia,0.2,4,T-CF,0.7665749025005735
Sino-Tibetan,Eurasia,0.2,4,Learned,0.786724783971859
Afro-Asiatic,Africa,0.0,0,Freq,0.7180778361268974
