condition,repr,linearizer,source_glot,target_glot,kendall_tau,pair_accuracy,exact_match,arc_accuracy,n_sentences,n_arcs
self,wals_s42_B_masked30,mlp,latv1249,latv1249,0.256275886862073,0.6281379434310365,0.0,0.6233849098739831,486,6269
self,gold_oracle,profile,latv1249,latv1249,0.3418240692325285,0.6709120346162643,0.0,0.6623065879725634,486,6269
self,wals_s42_B_masked30,mlp,lith1251,lith1251,0.23633125615831777,0.6181656280791589,0.012295081967213115,0.6169160876536611,488,7484
self,gold_oracle,profile,lith1251,lith1251,0.3212416951788205,0.6606208475894103,0.0020491803278688526,0.6588722608230893,488,7484
self,wals_s42_B_masked30,mlp,malt1254,malt1254,0.2957966551764255,0.6478983275882128,0.006060606060606061,0.689119170984456,495,10229
self,gold_oracle,profile,malt1254,malt1254,0.34998536053059354,0.6749926802652968,0.00404040404040404,0.6817870759605045,495,10229
self,wals_s42_B_masked30,mlp,mara1378,mara1378,0.11539757471107587,0.557698787355538,0.0,0.3708791208791209,46,364
self,gold_oracle,profile,mara1378,mara1378,0.4764200851271791,0.7382100425635894,0.0,0.6318681318681318,46,364
self,wals_s42_B_masked30,mlp,nort2671,nort2671,0.2620915681804162,0.6310457840902082,0.0,0.5169721656483367,500,5892
self,gold_oracle,profile,nort2671,nort2671,0.2329804228203025,0.6164902114101513,0.0,0.5622878479293958,500,5892
self,wals_s42_B_masked30,mlp,west2369,west2369,0.0907545810522036,0.5453772905261017,0.0,0.5696340797378482,500,7324
self,gold_oracle,profile,west2369,west2369,0.58312033924041,0.791560169620205,0.0,0.723784817039869,500,7324
self,wals_s42_B_masked30,mlp,poli1260,poli1260,0.3635660583996654,0.6817830291998327,0.0,0.6879194630872483,494,4172
self,gold_oracle,profile,poli1260,poli1260,0.36183223875976533,0.6809161193798827,0.0,0.6907957813998082,494,4172
self,wals_s42_B_masked30,mlp,port1283,port1283,0.440828536146252,0.7204142680731259,0.020491803278688523,0.7190542420027817,488,9347
self,gold_oracle,profile,port1283,port1283,0.4546910885942865,0.7273455442971433,0.018442622950819672,0.7053600085588959,488,9347
self,wals_s42_B_masked30,mlp,russ1263,russ1263,0.2672527338634722,0.633626366931736,0.0,0.676890859817689,495,8118
self,gold_oracle,profile,russ1263,russ1263,0.3331076101018415,0.6665538050509208,0.0,0.6702389751170239,495,8118
self,wals_s42_B_masked30,mlp,slov1268,slov1268,0.32448159686511335,0.6622407984325568,0.002,0.7307770752600449,500,9806
self,gold_oracle,profile,slov1268,slov1268,0.3615633692971769,0.6807816846485885,0.002,0.732408729349378,500,9806
self,wals_s42_B_masked30,mlp,swed1254,swed1254,0.372971047595371,0.6864855237976855,0.006289308176100629,0.6909799554565702,477,7184
self,gold_oracle,profile,swed1254,swed1254,0.3802182889786634,0.6901091444893317,0.0041928721174004195,0.6792873051224945,477,7184
self,wals_s42_B_masked30,mlp,tami1289,tami1289,-0.07518658387763295,0.4624067080611835,0.0,0.3467094703049759,120,1869
self,gold_oracle,profile,tami1289,tami1289,0.6640194655180953,0.8320097327590477,0.0,0.8143392188336008,120,1869
self,wals_s42_B_masked30,mlp,telu1262,telu1262,0.1610965569007527,0.5805482784503763,0.0,0.4737762237762238,143,572
self,gold_oracle,profile,telu1262,telu1262,0.559074259074259,0.7795371295371296,0.0,0.6940559440559441,143,572
self,wals_s42_B_masked30,mlp,nucl1301,nucl1301,0.07125451668116797,0.5356272583405839,0.008130081300813009,0.41878260869565215,492,5750
self,gold_oracle,profile,nucl1301,nucl1301,0.5189098399272442,0.759454919963622,0.012195121951219513,0.7144347826086956,492,5750
self,wals_s42_B_masked30,mlp,ukra1253,ukra1253,0.25330403523579076,0.6266520176178954,0.002178649237472767,0.7039831354709863,459,9013
self,gold_oracle,profile,ukra1253,ukra1253,0.2965814217515292,0.6482907108757646,0.002178649237472767,0.693442804837457,459,9013
self,wals_s42_B_masked30,mlp,viet1252,viet1252,0.34958116790386257,0.6747905839519313,0.0,0.6361189801699717,499,7060
self,gold_oracle,profile,viet1252,viet1252,0.39855767960464367,0.6992788398023219,0.0,0.6236543909348442,499,7060
self,wals_s42_B_masked30,mlp,wels1247,wels1247,0.306159883032041,0.6530799415160204,0.0,0.6466954910438543,500,8095
self,gold_oracle,profile,wels1247,wels1247,0.24230151788757873,0.6211507589437892,0.0,0.6543545398394071,500,8095
self,wals_s42_B_masked30,mlp,nucl1347,nucl1347,0.382874667383689,0.6914373336918446,0.0021321961620469083,0.6573701167942005,469,9932
