representation,split,split_type,model,mae,brier,spearman_rho,kl
wals_s42_A,value_No_dom_order_VOS_OVS,value,majority_per_config,,,,
wals_s42_A,value_No_dom_order_VOS_OVS,value,family_mean,,,,
wals_s42_A,value_No_dom_order_VOS_OVS,value,mlp,,,,
wals_s42_B,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
wals_s42_B,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
wals_s42_B,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
wals_s42_B,A_random,A,mlp,0.3831709624387053,0.1646054732479635,0.42636941194110195,0.42359271775621943
wals_s42_B,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
wals_s42_B,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_B,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_B,family_Afro-Asiatic,family,mlp,0.27444888044964005,0.11244912868237354,0.5934391034869227,0.33130752740867586
wals_s42_B,family_Indo-European,family,zero_order_0.5,0.3873809995952695,0.16815931160270361,,0.4283678969795859
wals_s42_B,family_Indo-European,family,majority_per_config,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_B,family_Indo-European,family,family_mean,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_B,family_Indo-European,family,mlp,0.38290095429809684,0.16528556954763032,-0.06345036231406857,0.4226105933086683
wals_s42_B,family_Uralic,family,zero_order_0.5,0.3498685503244127,0.14509476801241838,,0.3607520632527484
wals_s42_B,family_Uralic,family,majority_per_config,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_B,family_Uralic,family,family_mean,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_B,family_Uralic,family,mlp,0.3213058144712554,0.16823492915415633,0.02753931020552861,0.44594152665833464
wals_s42_B,family_Dravidian,family,zero_order_0.5,0.4801244830950946,0.23490214403226817,,0.6372856619416627
wals_s42_B,family_Dravidian,family,majority_per_config,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_B,family_Dravidian,family,family_mean,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_B,family_Dravidian,family,mlp,0.5631173295517614,0.3785531403548348,-0.051113433852604764,1.0073851684847825
wals_s42_B,value_No_dom_order,value,zero_order_0.5,,,,
wals_s42_B,value_No_dom_order,value,majority_per_config,,,,
wals_s42_B,value_No_dom_order,value,family_mean,,,,
wals_s42_B,value_No_dom_order,value,mlp,,,,
wals_s42_B,value_No_dom_order_VOS_OVS,value,zero_order_0.5,,,,
wals_s42_B,value_No_dom_order_VOS_OVS,value,majority_per_config,,,,
wals_s42_B,value_No_dom_order_VOS_OVS,value,family_mean,,,,
wals_s42_B,value_No_dom_order_VOS_OVS,value,mlp,,,,
wals_s42_C,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
wals_s42_C,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
wals_s42_C,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
wals_s42_C,A_random,A,mlp,0.3659550222952201,0.1585884324352272,0.28401672235607617,0.4113456833440864
wals_s42_C,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
wals_s42_C,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_C,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_C,family_Afro-Asiatic,family,mlp,0.2544959494299636,0.0967163471033441,0.7625049619481075,0.2834989624632855
wals_s42_C,family_Indo-European,family,zero_order_0.5,0.3873809995952695,0.16815931160270361,,0.4283678969795859
wals_s42_C,family_Indo-European,family,majority_per_config,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_C,family_Indo-European,family,family_mean,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_C,family_Indo-European,family,mlp,0.387277312895563,0.16822488128292173,-0.21286713532687657,0.4284990509317315
wals_s42_C,family_Uralic,family,zero_order_0.5,0.3498685503244127,0.14509476801241838,,0.3607520632527484
wals_s42_C,family_Uralic,family,majority_per_config,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_C,family_Uralic,family,family_mean,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_C,family_Uralic,family,mlp,0.2951198479182294,0.13823194530108668,0.2639158252880658,0.35649863187452036
wals_s42_C,family_Dravidian,family,zero_order_0.5,0.4801244830950946,0.23490214403226817,,0.6372856619416627
wals_s42_C,family_Dravidian,family,majority_per_config,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_C,family_Dravidian,family,family_mean,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_C,family_Dravidian,family,mlp,0.26364431861687204,0.08157697506483577,0.5075156883417925,0.30275517280349085
wals_s42_C,value_No_dom_order,value,zero_order_0.5,,,,
wals_s42_C,value_No_dom_order,value,majority_per_config,,,,
wals_s42_C,value_No_dom_order,value,family_mean,,,,
wals_s42_C,value_No_dom_order,value,mlp,,,,
wals_s42_C,value_No_dom_order_VOS_OVS,value,zero_order_0.5,,,,
wals_s42_C,value_No_dom_order_VOS_OVS,value,majority_per_config,,,,
wals_s42_C,value_No_dom_order_VOS_OVS,value,family_mean,,,,
wals_s42_C,value_No_dom_order_VOS_OVS,value,mlp,,,,
wals_s42_B_masked30,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
wals_s42_B_masked30,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
wals_s42_B_masked30,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
wals_s42_B_masked30,A_random,A,mlp,0.3807540501851871,0.16247680997349678,0.38388661265514107,0.4193329918641031
wals_s42_B_masked30,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
wals_s42_B_masked30,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_B_masked30,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_B_masked30,family_Afro-Asiatic,family,mlp,0.2829254696818127,0.10048661199580995,0.7442229540094043,0.2993341460672453
wals_s42_B_masked30,family_Indo-European,family,zero_order_0.5,0.3873809995952695,0.16815931160270361,,0.4283678969795859
wals_s42_B_masked30,family_Indo-European,family,majority_per_config,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_B_masked30,family_Indo-European,family,family_mean,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_B_masked30,family_Indo-European,family,mlp,0.3894797854580297,0.1708753086359923,-0.42046240887559655,0.4338073541287386
wals_s42_B_masked30,family_Uralic,family,zero_order_0.5,0.3498685503244127,0.14509476801241838,,0.3607520632527484
wals_s42_B_masked30,family_Uralic,family,majority_per_config,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_B_masked30,family_Uralic,family,family_mean,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_B_masked30,family_Uralic,family,mlp,0.328443511535549,0.17438016373318752,0.008154097435156516,0.4485105504104858
wals_s42_B_masked30,family_Dravidian,family,zero_order_0.5,0.4801244830950946,0.23490214403226817,,0.6372856619416627
