glottocode,family_id,source
dana1252,aust1305,grambank
dand1238,drav1251,grambank
dani1285,indo1319,grambank
dara1250,indo1319,grambank
dard1243,daju1249,grambank
darg1241,nakh1245,grambank
darl1243,pama1250,grambank
darm1243,sino1245,grambank
daur1238,mong1349,grambank
dawr1236,gong1255,grambank
daww1239,nada1235,grambank
daza1242,saha1256,grambank
dech1234,sino1245,grambank
defa1248,ijoi1239,grambank
dege1246,atla1278,grambank
dehu1237,aust1307,grambank
dera1245,sena1264,grambank
dera1248,afro1255,grambank
desa1247,tuca1253,grambank
dhao1237,aust1307,grambank
dhar1247,pama1250,grambank
dhar1248,pama1250,grambank
dhim1246,sino1245,grambank
dibo1245,atla1278,grambank
dido1241,nakh1245,grambank
dier1241,pama1250,grambank
diga1241,sino1245,grambank
digo1243,atla1278,grambank
dima1251,sino1245,grambank
dime1235,sout2845,grambank
diri1252,atla1278,grambank
dizi1235,dizo1235,grambank
djam1255,mirn1241,grambank
djam1256,pama1250,grambank
djap1238,pama1250,grambank
djee1236,mani1293,grambank
djeo1235,nucl1710,grambank
djin1251,mirn1241,grambank
djin1253,pama1250,grambank
dobe1238,aust1307,grambank
dobu1241,aust1307,grambank
doma1260,indo1319,grambank
domm1246,nucl1709,grambank
dong1285,mong1349,grambank
doro1266,manu1261,grambank
drun1238,sino1245,grambank
dual1243,atla1278,grambank
dumb1241,aust1307,grambank
dumi1241,sino1245,grambank
dupa1235,aust1307,grambank
dura1244,sino1245,grambank
duru1236,drav1251,grambank
dusn1237,aust1307,grambank
dutc1256,indo1319,grambank
duun1241,pama1250,grambank
dyan1250,pama1250,grambank
dyir1250,pama1250,grambank
dyul1238,mand1469,grambank
dzao1238,hmon1336,grambank
dzon1239,sino1245,grambank
east1236,aust1305,grambank
east2330,aust1305,grambank
east2332,aust1305,grambank
east2333,aust1305,grambank
east2342,sino1245,grambank
east2343,sino1245,grambank
east2379,pama1250,grambank
east2440,aust1307,grambank
east2443,aust1307,grambank
east2447,aust1307,grambank
east2449,aust1307,grambank
east2485,aust1307,grambank
east2516,nucl1709,grambank
east2545,pomo1273,grambank
east2555,tupi1275,grambank
east2556,otom1299,grambank
east2563,aust1307,grambank
east2690,afro1255,grambank
east2694,aust1307,grambank
east2773,sino1245,grambank
east2782,atla1278,grambank
east2851,sino1245,grambank
egaa1242,atla1278,grambank
egyp1253,afro1255,grambank
eipo1242,nucl1709,grambank
ekar1243,nucl1709,grambank
elem1253,atla1278,grambank
elip1238,atla1278,grambank
elmo1238,afro1255,grambank
elna1235,utoa1244,grambank
emae1237,aust1307,grambank
emai1242,atla1278,grambank
embe1260,choc1280,grambank
embe1262,choc1280,grambank
enap1235,cari1283,grambank
enuu1235,sino1245,grambank
epen1239,choc1280,grambank
ersu1241,sino1245,grambank
erzy1239,ural1272,grambank
esan1238,atla1278,grambank
esee1247,koia1260,grambank
esee1248,pano1259,grambank
esim1238,atla1278,grambank
esto1258,ural1272,grambank
eton1253,atla1278,grambank
eude1234,utoa1244,grambank
even1259,tung1282,grambank
even1260,tung1282,grambank
ewee1241,atla1278,grambank
eyak1241,atha1245,grambank
fait1240,nucl1709,grambank
fala1243,sino1245,grambank
fare1241,atla1278,grambank
faro1244,indo1319,grambank
fass1245,baib1250,grambank
fefe1239,atla1278,grambank
fiji1243,aust1307,grambank
fili1244,aust1307,grambank
filo1235,toto1251,grambank
fina1242,aust1307,grambank
finn1310,sign1238,grambank
finn1318,ural1272,grambank
fipa1238,atla1278,grambank
foii1241,east2499,grambank
fonn1241,atla1278,grambank
fore1265,ural1272,grambank
fore1270,nucl1709,grambank
fran1266,mixe1284,grambank
furr1244,fura1235,grambank
furu1242,cent2225,grambank
futu1245,aust1307,grambank
fuyu1242,goil1242,grambank
gaaa1244,atla1278,grambank
gaaa1245,atla1278,grambank
gaam1241,east2386,grambank
gaan1243,afro1255,grambank
gada1258,aust1307,grambank
gade1242,atla1278,grambank
gaga1249,turk1311,grambank
gahr1239,sino1245,grambank
gala1264,afro1255,grambank
gale1259,nort2923,grambank
gali1258,indo1319,grambank
gali1262,cari1283,grambank
galo1242,sino1245,grambank
gamb1251,worr1236,grambank
gamo1243,gong1255,grambank
gana1278,pama1250,grambank
gand1255,atla1278,grambank
gang1266,sino1245,grambank
gang1267,tang1340,grambank
gant1244,nucl1709,grambank
gapa1238,aust1307,grambank
gara1269,garr1260,grambank
gari1256,araw1281,grambank
garo1247,sino1245,grambank
gata1239,aust1305,grambank
gayo1244,aust1307,grambank
gbay1278,atla1278,grambank
gbay1288,kres1240,grambank
geba1237,sino1245,grambank
gebe1237,aust1307,grambank
geda1237,aust1307,grambank
gela1263,aust1307,grambank
geme1244,atla1278,grambank
geru1240,afro1255,grambank
gese1240,aust1307,grambank
ghad1239,afro1255,grambank
ghan1242,aust1307,grambank
ghar1239,aust1307,grambank
gheg1238,indo1319,grambank
ghod1238,nakh1245,grambank
ghom1257,afro1255,grambank
gida1247,afro1255,grambank
giiw1236,afro1255,grambank
gilb1244,aust1307,grambank
gily1242,nivk1234,grambank
gira1247,nucl1709,grambank
giry1241,atla1278,grambank
gizr1240,east2503,grambank
glav1244,afro1255,grambank
gobu1238,atla1278,grambank
goem1240,afro1255,grambank
gofa1235,gong1255,grambank
gogo1265,suki1244,grambank
gola1255,atla1278,grambank
goli1247,nucl1709,grambank
golo1234,atla1278,grambank
goon1238,buna1274,grambank
goro1270,afro1255,grambank
gras1239,ural1272,grambank
gras1249,koia1260,grambank
gros1243,algi1248,grambank
guah1255,guah1252,grambank
guam1248,barb1265,grambank
guan1266,sino1245,grambank
guan1269,tuca1253,grambank
guan1270,araw1281,grambank
guar1293,araw1281,grambank
